key,name,bucket,dedication
abbeyleix,Abbeyleix GAA,club,
abbeyside ballinacourty,Abbeyside - Ballinacourty GAA Club,club,
adamstown,Adamstown GAA Club,club,
adare,Adare GAA Club,club,
adrigole,Adrigole GAA Club,club,
aghabog emmetts,Aghabog Emmetts GAA,club,
aghaderg ballyvarley,Aghaderg Ballyvarley GAC,club,
aghadrumsee,Aghadrumsee GAA,club,
aghyaran st davog s,Aghyaran St. Davog's GAA,club,
aherlow,Aherlow GAA Club,club,
allenwood,Allenwood GFC,club,
alsaa,ALSAA,club,
an lub,An Lúb GAA Club,club,
an phairc,An Pháirc,club,
annaduff,Annaduff GAA,club,
annaghdown,Annaghdown GAA,club,
annough,Annough GAA,club,
aodh ruadh,Aodh Ruadh GAA,club,
ardagh pitch,Ardagh Pitch,club,
ardclough,Ardclough GAA,club,
ardfinnan,Ardfinnan GAA Club,club,
ardrahan,Ardrahan GAA,club,
argideen rangers,Argideen Rangers GAA Club,club,
arklow geraldines,Arklow Geraldines GAA,club,
arklow geraldines ballymoney,Arklow Geraldines Ballymoney GAA Club,club,
arklow rock parnells,Arklow Rock Parnells,club,
arles killeen,Arles Killeen GAA Club,club,
armagh gaa athletic grounds,Armagh GAA Athletic Grounds,club,
arravale rovers gaa sean tracey park,Arravale Rovers GAA (Seán Tracey Park),club,
ashford,Ashford GAA Club,club,
athea,Athea GAA,club,
athlacca,Athlacca Gaa,club,
athy,Athy GAA,club,
attical,Attical GAC,club,
aughawillan,Aughawillan GAA,club,
aughnamullen,Aughnamullen GAA,club,
austin stacks,Austin Stacks GAA Club,club,
avondale,Avondale GAA,club,
badoney ladies lgfa,Badoney Ladies LGFA,club,
bagenalstown gaels,Bagenalstown Gaels GAA,club,
balinderry gaa pitch,Balinderry GAA Pitch,club,
balla,Balla GAA Club,club,
ballacolla,Ballacolla GAA,club,
ballast pit,Ballast pit,club,
ballela,Ballela GAC,club,
ballina,Ballina GAA,club,
ballina stephenites,Ballina Stephenites GAA Club,club,
ballinabrakey,Ballinabrakey GAA,club,
ballinabrannagh,Ballinabrannagh GAA,club,
ballinacurra,Ballinacurra GAA Club,club,
ballinagar,Ballinagar GAA,club,
ballinagh,Ballinagh GAA,club,
ballinagh gaa grounds,Ballinagh GAA Grounds,club,
ballinakill,Ballinakill GAA,club,
ballinamere,Ballinamere GAA,club,
ballinascarthy hurling football,Ballinascarthy Hurling & Football Club,club,
ballinasloe,Ballinasloe GAA,club,
ballincollig,Ballincollig GAA,club,
ballingarry,Ballingarry GAA,club,
ballinhassig,Ballinhassig G.A.A. Club,club,
ballinhassig gaa ballinaboy pitches,Ballinhassig GAA Ballinaboy Pitches,club,
ballinkillen,Ballinkillen GAA,club,
ballinlough gaa pitch,Ballinlough GAA Pitch,club,
ballinora gaa grounds football,Ballinora GAA Grounds (Football),club,
ballinore gaa grounds,Ballinore GAA Grounds (Hurling),club,
ballinrobe gaa flanagan park,Ballinrobe GAA- Flanagan Park,club,
ballinteer st johns broadford pitch,Ballinteer St Johns Broadford Pitch,club,
ballinure,Ballinure GAA Club,club,
ballon,Ballon GAA,club,
ballybacon grange,Ballybacon - Grange GAA,club,
ballyboughal rangers,Ballyboughal Rangers GAA,club,
ballybricken bohermore,Ballybricken-Bohermore GAA,club,
ballycommon,Ballycommon GAA,club,
ballycumber,Ballycumber GAA,club,
ballydesmond,Ballydesmond GAA Club,club,
ballyduff lower,Ballyduff Lower GAA,club,
ballyduff upper,Ballyduff Upper GAA Club,club,
ballyea,Ballyea GAA,club,
ballyfin,Ballyfin GAA,club,
ballygalget,Ballygalget GAC,club,
ballygarrett gaa pitch,Ballygarrett GAA Pitch,club,
ballygarvan gaa liam maccarthy park,Ballygarvan GAA (Liam MacCarthy Park),club,
ballygiblin,Ballygiblin GAA,club,
ballygunner,Ballygunner GAA Club,club,
ballyhaise,Ballyhaise GFC,club,
ballyhea,Ballyhea GAA,club,
ballyhegan davitt s,Ballyhegan Davitt's GAA,club,
ballyholland,Ballyholland GAC,club,
ballykelly,Ballykelly GFC,club,
ballylanders,Ballylanders GAA,club,
ballylynan,Ballylynan GAA,club,
ballymacelligot,Ballymacelligot GAA,club,
ballymachugh,Ballymachugh GAA,club,
ballymacnab round towers,Ballymacnab Round Towers GAA,club,
ballymaguigan st treas,Ballymaguigan St Treas GFC,club,
ballymanus,Ballymanus GAA,club,
ballymartle,Ballymartle GAA,club,
ballymore,Ballymore GFC,club,
ballymore eustace,Ballymore Eustace GAA,club,
ballymote,Ballymote CLG,club,
ballynacargy,Ballynacargy GAA,club,
ballyphehane,Ballyphehane GAA Club,club,
ballypickas,Ballypickas GAA,club,
ballyporeen skeheenarinky,Ballyporeen/Skeheenarinky GAA,club,
ballyroan,Ballyroan GAA,club,
ballysaggart,Ballysaggart GAA,club,
ballyskenach killavilla,Ballyskenach-Killavilla GAA Club,club,
ballysteen,Ballysteen GAA,club,
ballyteague,Ballyteague GAA,club,
bandon,Bandon GAA,club,
banner,Banner GAA,club,
bantry blues,Bantry Blues GAA,club,
barndarrig,Barndarrig GAA,club,
barrowhouse,Barrowhouse GAA,club,
barryroe,Barryroe GAA,club,
batterstown gaa pitch,Batterstown GAA Pitch,club,
belclare,Belclare GAA,club,
belcoo,Belcoo GAA,club,
belgooly,Belgooly G.A.A. Club,club,
belmont,Belmont GAA,club,
belmullet,Belmullet GAA Club,club,
belnaleck,Belnaleck GAA,club,
belturbet rory o moores,Belturbet Rory O'Moores GFC,club,
bennetsbridge,Bennetsbridge G.A.A. Club,club,
bishopstown,Bishopstown GAA Club,club,
blackhall gaels gaa club batterstown,Blackhall Gaels GAA Club Batterstown,club,
blackhall gaels gaa club kilcloon,Blackhall Gaels GAA Club Kilcloon,club,
blackrock,Blackrock Hurling Club,club,
blarney,Blarney GAA Club,club,
blessington,Blessington GAA,club,
boardsmill,Boardsmill GAA,club,
bodyke,Bodyke GAA Club,club,
boherbue,Boherbue GAA,club,
boherlahan dualla gaa sports centre,Boherlahan - Dualla GAA Sports Centre,club,
bonniconlon,Bonniconlon GAA,club,
borris in ossory,Borris-in-Ossory GAA,club,
bottom pitch,Bottom Pitch,club,
bray emmets,Bray Emmets GAA Club,club,
breaffy,Breaffy GAA,club,
brian dillons,Brian Dillons GAA Club,club,
bride rovers,Bride Rovers GAA,club,
brideview,Brideview GAA,club,
bright,Bright GAC,club,
broadford,Broadford GAA,club,
brookeborough,Brookeborough GAA,club,
bryansford,Bryansford GAC,club,
bunmahon,Bunmahon GAA Club,club,
bunnanaddan,Bunnanaddan GAA Club,club,
burgess,Burgess GAA,club,
burren,Burren GAA,club,
burrishoole,Burrishoole GAA Club,club,
butlersbridge,Butlersbridge GAA,club,
butlerstown,Butlerstown GAA Club,club,
buttevant,Buttevant GAA,club,
caherline,Caherline GAA,club,
caherlistrane,Caherlistrane GAA,club,
caherslee,Caherslee GAA Club,club,
cahir,Cahir GAA Club,club,
caislean na deirge naomh eoghan clg castlederg gaelic football,Caisleán na Deirge Naomh Eoghan CLG (Castlederg Gaelic Football Club),club,
caltra,Caltra GAA,club,
camogue rovers,Camogue Rovers,club,
camross,Camross GAA,club,
canovee,Canovee GAA Club,club,
cappagh gaa pitch,Cappagh GAA pitch,club,
cappamore,Cappamore GAA,club,
cappincur,Cappincur GAA,club,
cappoquin affane,Cappoquin Affane GAA Club,club,
carbery rangers,Carbery Rangers GAA,club,
cardinal o donnell s gaelic athletics,Cardinal O'Donnell's Gaelic Athletics Club,club,
carlow gaa centre of excellence,Carlow GAA Centre of Excellence,club,
carlow town,Carlow Town Hurling Club,club,
carnew emmets badminton and,Carnew Emmets Badminton and GAA,club,
carnmore gaa ground,Carnmore GAA Ground,club,
carraig na bhfear,Carraig na bhFear GAA Club,club,
carrick davins,Carrick Davins GAA Club,club,
carrick swan,Carrick Swan GAA Club,club,
carrickcruppen,Carrickcruppen GAC,club,
carrig riverstown,Carrig & Riverstown GAA Club,club,
carrigaline,Carrigaline GAA,club,
carrigeen,Carrigeen GAA,club,
carrigtwohill,Carrigtwohill GAA,club,
carryduff,Carryduff GAC,club,
cashel king cormacs,Cashel King Cormacs GAA Club,club,
castledaly,Castledaly G.A.A. Club,club,
castledawson,Castledawson GAC,club,
castledermot,Castledermot GAA,club,
castlehaven,Castlehaven GAA,club,
castlehaven gaa main pitch,Castlehaven GAA Main Pitch,club,
castleisland desmonds,Castleisland Desmonds GAA Club,club,
castlelyons,Castlelyons GAA,club,
castlemartyr,Castlemartyr GAA,club,
castlemitchell,Castlemitchell GAA club,club,
castletown,Castletown GAA,club,
castletownbere,Castletownbere GAA Club,club,
castlewellan,Castlewellan GAC,club,
cavan gaels,Cavan Gaels GAA,club,
celbridge,Celbridge GAA,club,
chapel farm pitch,Chapel Farm Pitch,club,
christian brothers college sports complex,Christian Brothers College Sports Complex,club,
churchill gaa pitch,Churchill GAA Pitch,club,
cill chartha gaa pitch,Cill Chartha GAA Pitch,club,
cj kickhams mullinahone,CJ Kickhams Mullinahone GAA Club,club,
clan na gael,Clan na Gael G.F.C.,club,
clann mhuire,Clann Mhuire CLG,club,
clann na gael,Clann Na Gael GAA,club,
clann na ngael,Clann na nGael CLG,club,
clann na ngael gaa johnstown,Clann na nGael GAA (Johnstown),club,
clanna gael fontenoy,Clanna Gael Fontenoy GAA Club,club,
clara gaa club kilkenny,"Clara GAA Club, Kilkenny",club,
clare gaa centre of excellence,Clare GAA Centre of Excellence,club,
clareen,Clareen GAA,club,
claregalway,Claregalway GAA,club,
claregalway,Claregalway GAA,club,
claremorris,Claremorris GAA,club,
clg an spideal,CLG An Spidéal,club,
clg an tsean phobail,CLG An tSean Phobail,club,
clg beal atha n ghraorthaidh,CLG Béal Átha'n Ghraorthaidh,club,
clg beart,CLG Beart,club,
clg bun an phobail,CLG Bun an Phobail,club,
clg cill na martra,CLG Cill Na Martra,club,
clg croabh chiarain,CLG Croabh Chiaráin,club,
clg cuchulainn,CLG Cuchulainn,club,
clg cuchulainn gaa glub,CLG Cuchulainn GAA Glub,club,
clg eimeid sleacht neill,CLG Eiméid Sleacht Néill,club,
clg ghaoth dobhair,C.L.G. Ghaoth Dobhair,club,
clg naomh aban,CLG Naomh Ában,club,
clg naomh padraig uisce chaoin,CLG Naomh Padraig Uisce Chaoin,club,
clg sean maccumhaill,CLG Seán MacCumhaill,club,
clifden,Clifden GAA,club,
cloghan,Cloghan GAA,club,
clogherinkoe broadford,Clogherinkoe & Broadford GAA Club,club,
clonad,Clonad GAA,club,
clonakenny,Clonakenny GAA Club,club,
clonakilty,Clonakilty GAA Club,club,
clonard,Clonard GAA Club,club,
clonaslee st manman s,Clonaslee St Manman's GAA,club,
clonbulloge,Clonbulloge GAA,club,
clondegad gaa pitch,Clondegad GAA Pitch,club,
clondrohid,Clondrohid GAA,club,
clonea,Clonea G.A.A.,club,
clonee gaa pitch,Clonee GAA Pitch,club,
clonee gaa pitch,Clonee GAA Pitch,club,
clongeen,Clongeen GAA Club,club,
clonguish,Clonguish GAA,club,
clonmel og,Clonmel Óg GAA,club,
clonmel st mary s,Clonmel St. Mary's GAA,club,
clonmore,Clonmore GFC,club,
clonoulty rossmore,Clonoulty Rossmore GAA,club,
clontarf,Clontarf GAA,club,
clontibret o neills,Clontibret O'Neills GAA,club,
clooney quin,Clooney-Quin GAA,club,
cloughbawn,Cloughbawn GAA,club,
cloughduv,Cloughduv GAA,club,
cloyne,Cloyne GAA,club,
cloyne gaa second pitch,Cloyne GAA second pitch,club,
club clg piarsaigh na dromoda,Club CLG Piarsaigh na Dromoda,club,
club house changing rooms,Club House / Changing Rooms,club,
coa,Coa GAA,club,
coalisland fianna,Coalisland Fianna G.F.C.,club,
cobh,Cobh GAA,club,
coiste chontae chiarrai,Coiste Chontae Chiarraí CLG,club,
colligan,Colligan GAA,club,
colmcille gfc mcgee park,Colmcille GFC (McGee Park),club,
colt,Colt GAA,club,
community pitch,Community Pitch,club,
conahy shamrocks,Conahy Shamrocks GAA Club,club,
conduff,Conduff GAC,club,
connacht gaa centre of excellence,Connacht GAA Centre Of Excellence,club,
coolderry,Coolderry GAA,club,
coolkenno,Coolkenno GAA,club,
cootehill celtic,Cootehill Celtic GAA,club,
coralstown kinnegad,Coralstown / Kinnegad GAA Club,club,
cordal gaa grounds,Cordal GAA Grounds,club,
corduff gaels,Corduff Gaels G.F.C.,club,
cork,Cork Camogie Club,club,
corlough,Corlough GFC,club,
cornafean,Cornafean GFC,club,
corofin,Corofin GAA,club,
corofin,Corofin GAA Club,club,
cortoon shamrocks,Cortoon Shamrocks GAA,club,
courcey rovers,Courcey Rovers G.A.A. Club,club,
courtwood,Courtwood GAA,club,
craobh chiarain hurling and football,Craobh Chiaráin Hurling and Football Club,club,
craughwell,Craughwell Hurling Club,club,
crecora manister,Crecora Manister GAA,club,
cremartin shamrocks,Cremartin Shamrocks GAA,club,
crettyard,Crettyard GAA Club,club,
crinkill,Crinkill GAA,club,
croghan,Croghan GAA,club,
crookedwood,Crookedwood Hurling Club,club,
crosserlough,Crosserlough GFC,club,
crosshaven,Crosshaven GAA,club,
cullaville blues,Cullaville Blues,club,
cullen football pitch,Cullen Football Pitch,club,
cullohill,Cullohill GAA,club,
cumann luthchleas gael moin choinn,Cumann Lúthchleas Gael Móin Choinn,club,
cumber forest gaelic pitch,Cumber Forest Gaelic Pitch,club,
currow,Currow GAA,club,
curry,Curry GAA Club,club,
cusack park gaa grounds,Cusack Park GAA Grounds,club,
daingean,Daingean GAA,club,
danesfort,Danesfort GAA,club,
davitts,Davitts GFC,club,
dawson park commercials,Dawson Park (Commercials Hurling & Camogie Club),club,
de la salle gaa club cleaboy grounds,De La Salle GAA Club - Cleaboy Grounds,club,
de la salle gaa club gracedieu grounds,De La Salle GAA Club - Gracedieu Grounds,club,
delanys,Delanys GAA Club,club,
delvin,Delvin GAA,club,
denn,Denn GFC,club,
derrybeg kickabout,Derrybeg Kickabout,club,
derrygonnelly harps,Derrygonnelly Harps GAA,club,
derrylin,Derrylin GAA,club,
derrynoose,Derrynoose GAC,club,
devenish,Devenish GAA,club,
devine park mostrim gfc wolfe tones,Devine Park (Mostrim GFC / Wolfe Tones HC),club,
diarmuid o mathuna,Diarmuid O'Mathuna GAA Club,club,
dicksboro,Dicksboro GAA Club,club,
doheny s gaa sam maguire park,Doheny's GAA (Sam Maguire Park),club,
doire colmcille,Doire Colmcille GAA,club,
doire trasna,Doire Trasna CLG,club,
donaghmore ashbourne,Donaghmore-Ashbourne GAA,club,
donard glen,Donard Glen GAA,club,
doneraile,Doneraile GAA,club,
doohamlet o neills,Doohamlet O'Neills GAA,club,
doon,Doon GAA,club,
doon,Doon GAA,club,
dorset emett,Dorset Emett GFC,club,
douglas,Douglas GAA,club,
downings,Downings GAA,club,
dr croke s,Dr. Croke's GAA,club,
drom gaa field,Drom GAA field,club,
drom inch,Drom & Inch GAA Club,club,
drom inch gaa grounds,Drom & Inch GAA grounds,club,
dromcollogher gaa pitch,Dromcollogher GAA Pitch,club,
drumalee,Drumalee GFC,club,
drumbaragh emmets,Drumbaragh Emmets GFC,club,
drumgoon eire og,Drumgoon Éire Óg,club,
drumlane,Drumlane GFC,club,
drumquin wolfe tones,Drumquin Wolfe Tones GAC,club,
drumragh sarsfields,Drumragh Sarsfields G.A.C,club,
drumree,Drumree GAA,club,
drung gaa grounds,Drung GAA Grounds,club,
dundalk gaels,Dundalk Gaels,club,
dungarvan,Dungarvan GAA Club,club,
dungourney,Dungourney GAA,club,
duniry pitch,Duniry Pitch,club,
dunlavin,Dunlavin GAA,club,
dunmore mchales,Dunmore McHales GAA,club,
dunshaughlin,Dunshaughlin GAA,club,
durlas og,Durlas Óg GAA,club,
durrow,Durrow GAA,club,
eadestown,Eadestown GAA,club,
easkey gaa easkey sea blues,Easkey GAA - Easkey Sea Blues,club,
eastern gaels,Eastern Gaels,club,
eastern harps,Eastern Harps,club,
edenderry,Edenderry GAA,club,
edenderry gaa weaver s fields,Edenderry GAA - Weaver's Fields,club,
ederney,Ederney GAA,club,
ederney st joseph s,Ederney St Joseph's,club,
effin,Effin GAA,club,
eire og,Éire Óg CLG,club,
eire og,Éire Óg GAA,club,
eire og,Éire Óg GAA,club,
eire og annacarty donohill,Eire Og Annacarty Donohill GAA,club,
eire og ashgrove,Éire Óg Ashgrove,club,
eire og corra choill,Éire Óg Corra Choill,club,
eire og greystones,Éire Óg Greystones GAA Club,club,
eire og inis gaa academy,Éire Óg Inís GAA Academy,club,
ellistown,Ellistown GFC,club,
emeralds,Emeralds GAA,club,
emly,Emly GAA Club,club,
enniscrone kilglass,Enniscrone Kilglass GAA,club,
ennistymon,Ennistymon GAA Club,club,
eoghan rua pitch,Eoghan Rua Pitch,club,
eoghan ruadh,Eoghan Ruadh Hurling Club,club,
erin rovers,Erin Rovers GAA,club,
erin s own,Erin's Own GAA,club,
erin s own,Erin's Own GAA Club,club,
erins isle,Erins Isle GAA Club,club,
erins own lavey,Erins Own Lavey GAC,club,
erne gaels,Erne Gaels GAA,club,
eskra emmetts,Eskra Emmetts GAC,club,
father casey s,Father Casey's GAA,club,
faugh s,Faugh's GAA,club,
feenagh kilmeedy,Feenagh Kilmeedy GAA,club,
fenagh,Fenagh GAA,club,
fenians johnstown,Fenians Johnstown GAA,club,
feohanagh castlemahon,Feohanagh / Castlemahon,club,
ferbane,Ferbane GAA,club,
ferns saint aidan s,Ferns Saint Aidan's G.A.A. Club,club,
ferrybank,Ferrybank G.A.A. Club,club,
fighting cocks,Fighting Cocks GAA,club,
fingal ravens,Fingal Ravens GFC,club,
fingallians,Fingallians GAA Club,club,
fintona pearses,Fintona Pearses GAC,club,
firies,Firies GAA Club,club,
fontenoy park,Fontenoy Park GAC,club,
fossa,Fossa GAA Club,club,
foxrock cabinteely,Foxrock Cabinteely GAA Club,club,
fr manning gaels,Fr Manning Gaels GFC,club,
fr o neill s,Fr. O' Neill's GAA Club,club,
fr rocks,Fr Rocks GAC,club,
fr sheehys,Fr. Sheehys GAA,club,
gaa 1,GAA 1,club,
gaa 13,GAA 13,club,
gaa 21,GAA 21,club,
gaa 22,GAA 22,club,
gaa 29,GAA 29,club,
gaa 3,GAA 3,club,
gaa 30,GAA 30,club,
gaa 34,GAA 34,club,
gaa 35,GAA 35,club,
gaa 6,GAA 6,club,
gaa 7,GAA 7,club,
gaa grounds,GAA Grounds,club,
gaa national games development centre,GAA National Games Development Centre,club,
gaa soccer pitches,GAA/Soccer Pitches,club,
gabriel rangers gaa schull ballydehob,Gabriel Rangers GAA - Schull & Ballydehob,club,
gaeil colmcille,Gaeil Colmcille,club,
gael colmcille,Gael Colmcille,club,
galtee gaels,Galtee Gaels GAA,club,
galtee rovers,Galtee Rovers GAA,club,
galway road pitch,Galway Road Pitch,club,
garda westmanstown gaels,Garda Westmanstown Gaels GAA Club,club,
garnish,Garnish GAA Club,club,
garrymore,Garrymore GFC,club,
gaultier,Gaultier GAA,club,
geashill,Geashill GAA,club,
geashill gaa pitch,Geashill Gaa Pitch,club,
geevagh community sports ground,Geevagh Community Sports Ground,club,
gerald griffins,Gerald Griffins GAA,club,
glanmire,Glanmire G.A.A. Club,club,
glanworth,Glanworth GAA Club,club,
gleann na laoi,Gleann na Laoi,club,
glen emmets,Glen Emmets,club,
glenavy,Glenavy GAC,club,
gleneally,Gleneally GAA,club,
glenealy community centre,Glenealy Community Centre,club,
glengarriff,Glengarriff GAA Club,club,
glenmore,Glenmore GAA,club,
glenroe,Glenroe GAA Club,club,
glin,Glin GAA,club,
golden kilfeacle,Golden Kilfeacle GAA Club,club,
goleen,Goleen GAA Club,club,
good counsel,Good Counsel GAA Club,club,
gorteen,Gorteen GAA,club,
gortletteragh,Gortletteragh GAA,club,
gortnahoe glengoole,Gortnahoe Glengoole GAA Club,club,
gowna,Gowna GFC,club,
gracefield,Gracefield GAA,club,
graigue ballycallan,Graigue Ballycallan GAA Club,club,
graiguecullen,Graiguecullen GAA,club,
graiguenamanagh,Graiguenamanagh GAA,club,
granard sports complex,Granard Sports Complex,club,
granard st mary s,Granard St. Mary's GFC,club,
grange,Grange GAA,club,
grangenolvin,Grangenolvin GAA,club,
grantstown gaa park,Grantstown G.A.A. Park,club,
grattan og,Grattan Óg GFC,club,
greenlough,Greenlough GAA,club,
gusserane o rahillys,Gusserane O'Rahillys GAA,club,
halo tiles wexford gaa centre of excellence,Halo Tiles Wexford GAA Centre of Excellence,club,
hawkfield,Hawkfield GAA,club,
hillview tennis badminton pitch putt,"Hillview Tennis, Badminton, Pitch & Putt",club,
hollymount,Hollymount,club,
hollymount carramore,Hollymount Carramore GAA club,club,
hollywood,Hollywood GAA,club,
holycross ballycahill,Holycross Ballycahill GAA Club,club,
holycross ballycahill,Holycross Ballycahill GAA,club,
horeswood,Horeswood GAA Club,club,
hospital herbertstown,Hospital-Herbertstown GAA,club,
hurling wall,Hurling wall,club,
hurling wall,Hurling Wall,club,
ilen rovers,Ilen Rovers GAA,club,
ilen rovers,Ilen Rovers GAA Club,club,
inagh kilnamona,Inagh-Kilnamona GAA Club,club,
inagh kilnamona,Inagh-Kilnamona GAA Club,club,
innisfails,Innisfails GAA Club,club,
inniskeen grattans,Inniskeen Grattans GAA Club,club,
irvinestown,Irvinestown GAA,club,
islandeady,Islandeady GAA,club,
jk brackens,JK Brackens GAA,club,
jk brackens,JK Brackens GAA Club,club,
john mitchells gac glenullin,John Mitchells GAC Glenullin,club,
john mitchels,John Mitchels GAA Club,club,
john mitchels,John Mitchels GAA,club,
johnstownbridge,Johnstownbridge GAA,club,
keel,Keel GAA,club,
kenagh gfc mcgann park,Kenagh GFC (McGann Park),club,
kerins o rahillys,Kerins O'Rahillys GAA Club,club,
kevin lynch s,Kevin Lynch's GAA,club,
kiladangan,Kiladangan GAA,club,
kilbride,Kilbride GAA,club,
kilbride,Kilbride GAA,club,
kilbride,Kilbride GAA,club,
kilbrittain gaa sand cross,Kilbrittain GAA (Sand Cross),club,
kilcavan,Kilcavan GAA,club,
kilcock,Kilcock GAA,club,
kilconnell sports centre,Kilconnell Sports Centre,club,
kilcoo,Kilcoo GAC,club,
kilcoole,Kilcoole GAA,club,
kilcormac killoughy,Kilcormac-Killoughy GAA,club,
kilcornan,Kilcornan GAA,club,
kilcotton gaa grounds,Kilcotton GAA Grounds,club,
kilcullen,Kilcullen GAA,club,
kilcummin,Kilcummin GAA,club,
kildallan,Kildallan GFC,club,
kildangan,Kildangan GAA,club,
kildavin clonegal,Kildavin-Clonegal GAA,club,
kildimo,Kildimo GAA,club,
kildorrery,Kildorrery GAA,club,
kilfinane blackrock,Kilfinane Blackrock GAA,club,
kilgarvan,Kilgarvan G.A.A.,club,
kilgobnet,Kilgobnet GAA Club,club,
kilkerrin clonberne,Kilkerrin-Clonberne GAA,club,
kill,Kill GAA Club,club,
kill,Kill GAA,club,
killanena,Killanena,club,
killashee st brigid s,Killashee St. Brigid's GFC,club,
killeagh,Killeagh GAA,club,
killeeshil st mary s,Killeeshil St Mary's,club,
killeevan sarasfields,Killeevan Sarasfields GAA,club,
killeigh,Killeigh GAA,club,
killenaule gaa complex,Killenaule GAA Complex,club,
killeshandra leaguers,Killeshandra Leaguers GAA,club,
killeshin,Killeshin GAA,club,
killimer,Killimer GAA Club,club,
killimordaly,Killimordaly GAA Club,club,
killinkere,Killinkere GFC,club,
killucan gaa grounds,Killucan GAA Grounds,club,
killygarry,Killygarry GAA,club,
kilmacanoge,Kilmacanoge GAA,club,
kilmacow,Kilmacow GAA Club,club,
kilmacthomas,Kilmacthomas GAA,club,
kilmacud crokes gaa silver park,Kilmacud Crokes GAA (Silver Park),club,
kilmaine community pitch,Kilmaine Community Pitch,club,
kilmainhamwood,Kilmainhamwood GFC,club,
kilmaley,Kilmaley GAA,club,
kilmallock,Kilmallock GAA,club,
kilmeen kilbree,Kilmeen & Kilbree GAA Club,club,
kilmichael,Kilmichael GAA,club,
kilmoganny,Kilmoganny GAA Club,club,
kilmurry gaa crookstown grounds,Kilmurry GAA Crookstown Grounds,club,
