mid_lat,mid_lon,bearing_deg
54.8295,-5.707,0.0
54.83,-5.7075,90.0
54.8305,-5.708,0.0
54.831,-5.7085,90.0
54.8315,-5.709,0.0
54.832,-5.7095,90.0
54.8325,-5.71,0.0
54.8335,-5.71,0.0
54.834,-5.7105,90.0
54.8345,-5.711,0.0
54.8355,-5.712,0.0
54.836,-5.7125,90.0
54.8365,-5.713,0.0
54.837,-5.7135,90.0
54.8375,-5.714,0.0
54.838,-5.7145,90.0
54.8385,-5.715,0.0
54.839,-5.7155,90.0
54.8395,-5.716,0.0
54.84,-5.7165,90.0
54.8405,-5.717,0.0
54.841,-5.7175,90.0
54.8415,-5.718,0.0
54.842,-5.7185,90.0
54.8425,-5.719,0.0
54.843,-5.7195,90.0
54.8435,-5.72,0.0
54.844,-5.7205,90.0
54.8445,-5.721,0.0
54.845,-5.7215,90.0
54.8455,-5.722,0.0
54.846,-5.7225,90.0
54.8465,-5.723,0.0
54.847,-5.7235,90.0
54.8475,-5.7245,150.1
54.848,-5.7255,90.0
54.8475,-5.7275,29.9
54.847,-5.7285,90.0
54.847,-5.7295,90.0
54.8475,-5.73,0.0
54.848,-5.7305,90.0
54.8485,-5.731,0.0
54.849,-5.7315,90.0
54.849,-5.7325,90.0
54.8495,-5.733,0.0
54.85,-5.7335,90.0
54.85,-5.7345,90.0
54.8505,-5.735,0.0
54.851,-5.7355,90.0
54.8515,-5.736,0.0
54.852,-5.7365,90.0
54.852,-5.7375,90.0
54.852,-5.7385,90.0
54.8525,-5.739,0.0
54.853,-5.7395,90.0
54.853,-5.7405,90.0
54.853,-5.7415,90.0
54.8535,-5.742,0.0
54.854,-5.7425,90.0
54.854,-5.7435,90.0
54.8545,-5.744,0.0
54.855,-5.7445,90.0
54.855,-5.7455,90.0
54.856,-5.7465,90.0
54.856,-5.7475,90.0
54.856,-5.7485,90.0
54.856,-5.7495,90.0
54.856,-5.7505,90.0
54.8565,-5.751,0.0
54.857,-5.7515,90.0
54.857,-5.7525,90.0
54.857,-5.7535,90.0
54.8575,-5.754,0.0
54.858,-5.7545,90.0
54.858,-5.7555,90.0
54.858,-5.7565,90.0
54.8585,-5.757,0.0
54.859,-5.7575,90.0
54.859,-5.7585,90.0
54.859,-5.7595,90.0
54.8585,-5.76,0.0
54.858,-5.7605,90.0
54.8585,-5.761,0.0
54.859,-5.7615,90.0
54.859,-5.7625,90.0
54.8585,-5.763,0.0
54.858,-5.7635,90.0
54.8575,-5.764,0.0
54.857,-5.7635,90.0
54.8565,-5.763,0.0
54.856,-5.7625,90.0
54.8555,-5.762,0.0
54.8545,-5.762,0.0
54.8535,-5.762,0.0
54.853,-5.7625,90.0
54.853,-5.7635,90.0
54.853,-5.7645,90.0
54.8525,-5.765,0.0
54.852,-5.7655,90.0
54.852,-5.7665,90.0
54.852,-5.7675,90.0
54.852,-5.7685,90.0
54.852,-5.7695,90.0
54.852,-5.7705,90.0
54.8525,-5.771,0.0
54.853,-5.7715,90.0
54.853,-5.7725,90.0
54.8535,-5.773,0.0
54.8545,-5.773,0.0
54.855,-5.7735,90.0
54.855,-5.7745,90.0
54.8555,-5.775,0.0
54.856,-5.7755,90.0
54.8565,-5.776,0.0
54.857,-5.7765,90.0
54.8575,-5.778,0.0
54.858,-5.7785,90.0
54.8585,-5.779,0.0
54.859,-5.7795,90.0
54.8585,-5.78,0.0
54.858,-5.7805,90.0
54.8575,-5.782,0.0
54.857,-5.7825,90.0
54.8565,-5.783,0.0
54.8555,-5.783,0.0
54.855,-5.7825,90.0
54.8545,-5.782,0.0
54.8535,-5.782,0.0
54.853,-5.7815,90.0
54.8525,-5.781,0.0
54.852,-5.7815,90.0
54.8515,-5.782,0.0
54.851,-5.7825,90.0
54.851,-5.7835,90.0
54.851,-5.7845,90.0
54.851,-5.7855,90.0
54.851,-5.7865,90.0
54.851,-5.7875,90.0
54.8515,-5.788,0.0
54.852,-5.7885,90.0
54.852,-5.7895,90.0
54.8515,-5.79,0.0
54.8505,-5.7905,29.9
54.85,-5.7905,90.0
54.8495,-5.79,0.0
54.8485,-5.79,0.0
54.8475,-5.79,0.0
54.847,-5.7895,90.0
54.8465,-5.789,0.0
54.846,-5.7895,90.0
54.8455,-5.79,0.0
54.8445,-5.789,0.0
54.8435,-5.789,0.0
54.843,-5.7885,90.0
54.843,-5.7875,90.0
54.8425,-5.787,0.0
54.842,-5.7865,90.0
54.842,-5.7855,90.0
54.842,-5.7845,90.0
54.8415,-5.784,0.0
54.841,-5.7835,90.0
54.841,-5.7825,90.0
54.841,-5.7815,90.0
54.8405,-5.781,0.0
54.84,-5.7805,90.0
54.84,-5.7795,90.0
54.84,-5.7785,90.0
54.8395,-5.778,0.0
54.839,-5.7775,90.0
54.839,-5.7765,90.0
54.8385,-5.776,0.0
54.838,-5.7755,90.0
54.8375,-5.775,0.0
54.837,-5.7745,90.0
54.837,-5.7735,90.0
54.8365,-5.773,0.0
54.836,-5.7725,90.0
54.8355,-5.772,0.0
54.8345,-5.772,0.0
54.834,-5.7715,90.0
54.8335,-5.771,0.0
54.833,-5.7705,90.0
54.8325,-5.77,0.0
54.832,-5.7695,90.0
54.832,-5.7685,90.0
54.8315,-5.768,0.0
54.831,-5.7675,90.0
54.831,-5.7665,90.0
54.831,-5.7655,90.0
54.8305,-5.765,0.0
54.83,-5.7645,90.0
54.83,-5.7635,90.0
54.83,-5.7625,90.0
54.83,-5.7615,90.0
54.83,-5.7605,90.0
54.8295,-5.76,0.0
54.829,-5.7595,90.0
54.8285,-5.759,0.0
54.828,-5.7585,90.0
54.828,-5.7575,90.0
54.8275,-5.757,0.0
54.827,-5.7565,90.0
54.827,-5.7555,90.0
54.827,-5.7545,90.0
54.8265,-5.754,0.0
54.826,-5.7535,90.0
54.826,-5.7525,90.0
54.826,-5.7515,90.0
54.8255,-5.751,0.0
54.825,-5.7505,90.0
54.8245,-5.75,0.0
54.824,-5.7505,90.0
54.8235,-5.751,0.0
54.8235,-5.7515,150.1
54.824,-5.7525,90.0
54.8235,-5.753,0.0
54.8225,-5.753,0.0
54.822,-5.7525,90.0
54.8215,-5.752,0.0
54.821,-5.7515,90.0
54.8205,-5.751,0.0
54.8205,-5.7505,29.9
54.8205,-5.75,0.0
54.82,-5.7495,90.0
54.82,-5.7485,90.0
54.82,-5.7475,90.0
54.8195,-5.747,0.0
54.819,-5.7465,90.0
54.819,-5.7455,90.0
54.8185,-5.745,0.0
54.818,-5.7445,90.0
54.8175,-5.744,0.0
54.8165,-5.744,0.0
54.8155,-5.744,0.0
54.815,-5.7435,90.0
54.8155,-5.743,0.0
54.816,-5.7425,90.0
54.816,-5.7415,90.0
54.816,-5.7405,90.0
54.816,-5.7395,90.0
54.816,-5.7385,90.0
54.8155,-5.738,0.0
54.815,-5.7375,90.0
54.8145,-5.737,0.0
54.814,-5.7365,90.0
54.814,-5.7355,90.0
54.814,-5.7345,90.0
54.8135,-5.734,0.0
54.8125,-5.734,0.0
54.8115,-5.734,0.0
54.811,-5.7335,90.0
54.811,-5.7325,90.0
54.8105,-5.732,0.0
54.81,-5.7315,90.0
54.8095,-5.731,0.0
54.8085,-5.731,0.0
54.8075,-5.731,0.0
54.807,-5.7315,90.0
54.8065,-5.732,0.0
54.806,-5.7315,90.0
54.8055,-5.731,0.0
54.8045,-5.7305,150.0
54.804,-5.7295,90.0
54.8035,-5.729,0.0
54.803,-5.7285,90.0
54.8025,-5.728,0.0
